id,product_id,manufacturer,category,product,customer_id,sale_date,sale_time,quantity,price,sale_total
1,1,Alpine,"Auto & Tires,Auto Electronics,Car Speakers and Subwoofers,6.5\\ Car Speakers,All Car Speakers & Subwoofers,Car Electronics & GPS,Car Audio,Car Speakers,Electronics,Car & Vehicle Electronics,Car Electronics,Speakers,Coaxial Speakers","Alpine - 6-1/2"" 2-Way Coaxial Car Speakers with Polypropylene Cones (Pair) - Black",738,1/9/00,10:30:00 AM,1,235.45,235.45
2,40,Sony,"Portable Bluetooth Speakers,Audio Docks & Mini Speakers,Bluetooth & Wireless Speakers,Portable Audio & Headphones,Portable Audio & Video,Electronics,Portable Audio,Portable Wireless & Bluetooth Speakers,Speakers,Home Audio & Theater,Wireless Home Speakers,Mobile,iPod, Audio Player Accessories,Consumer Electronics,Mobile Bluetooth Speakers,Wireless and Bluetooth Speakers,UNNAV,Portable Speakers & Docks,Audio,Mobile Speakers,All Bluetooth & Wireless Speakers",Sony SRSXB30/BLK XB30 Portable Wireless Speaker with Bluetooth,99,1/9/00,9:32:00 PM,1,244.25,244.25
3,12,House of Marley,"Headphones,Bluetooth Headphones,On-Ear Headphones,Electronics,Bluetooth Headphones rydyqsaxrbrdyuquyetsrydxefvucsr,Audio,Mobile",The Rebel BT On-Ear Wireless Bluetooth Headphones (Black),767,2/11/00,11:05:00 AM,3,185.6,556.8
4,5,Boytone,"Electronics,Portable Audio & Video,Home Audio & Theater,Home Audio,All Home Speakers,Speaker Systems,Consumer Electronics,TV, Video & Home Audio,Home Theater Systems,See more Black BOYTONE Bt-210f 30 Watt FM Radio Bluetoo...,Audio,Stereos,Speakers,Cell,MP3 Player Accessories,Portable Bluetooth Speakers,See more BOYTONE Bt-210f Bluetooth Wireless Speaker Mp3...",Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,221,2/11/00,3:21:00 AM,1,527.39,527.39
5,31,Samsung,"Accessories,Portable Power Banks,Portable Chargers/Power Packs,Cell Phones & Accessories,Cell Phones,Portable Battery Packs,Cell Phone Accessories,Cell Phone Batteries & Power,Batteries & Battery Packs,cell,Power,Chargers & Cradles",Samsung Universal 3100mAh Portable External Battery Charger - White,173,3/6/00,5:06:00 AM,3,89.99,269.97
6,45,Ultimate Ears,"Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Portable Audio & Video,Electronics,Portable Speakers & Docks,Audio,All Bluetooth & Wireless Speakers",Ultimate Ears MEGABLAST Portable Wi-Fi/Bluetooth Speaker with hands-free Amazon Alexa voice control (waterproof) - Graphite Black,636,3/6/00,8:51:00 AM,1,163.58,163.58
7,23,Microsoft,"Electronics,Computers,Computer Accessories,Keyboards, Mice & Joysticks,Keyboards,All Keyboards,Computers & Accessories,Computer Accessories & Peripherals,Keyboards, Mice & Accessories,Computers & Tablets,iPad & Tablet Accessories,Tablet Cases, Covers & Keyboard Folios,Computer Peripherals,Keyboards Accessories,Computers Features,Cases, Covers & Keyboard Folios,Name Brands,Microsoft,Microsoft Surface,Microsoft Surface Accessories,Microsoft Surface Cases & Covers,Microsoft Surface Tablets,Frys,Tablets,Cases",Microsoft Surface Pro 4 Type Cover with Fingerprint ID,752,5/12/00,7:13:00 AM,1,149.99,149.99
8,28,Pny,"Desktop Memory,Computers/Tablets & Networking,Memory (RAM),Computer Components & Parts,Computers & Accessories,Computer Components,Memory (RAM,Memory,Electronics,Computers & Tablets,Computer Cards & Components",PNY Anarchy 16GB Kit (2x8GB) DDR4 2400MHz (PC4-19200) CL15 Desktop Memory (BLUE) - MD16GK2D4240015AB,643,5/12/00,10:14:00 AM,2,187.66,375.32
9,4,Bowers & Wilkins,"Headphones,Electronics,Over-Ear Headphones,Audio,Over-Ear & On-Ear Headphones",Bowers & Wilkins P7 Wired Over Ear Headphones,938,6/2/00,9:03:00 PM,1,501.2,501.2
10,4,Bowers & Wilkins,"Headphones,Electronics,Over-Ear Headphones,Audio,Over-Ear & On-Ear Headphones",Bowers & Wilkins P7 Wired Over Ear Headphones,754,6/2/00,6:23:00 PM,2,501.2,"1,002.40"
11,8,Definitive Technology,"Outdoor Speakers,Electronics Features,Electronics,TVs Entertainment,Speakers,Install Outdoor Speakers,Home Audio,Home Audio & Theater,Audio,All Home Speakers","AW6500 All-Weather Outdoor Speaker (White, Single)",413,6/9/00,6:37:00 AM,3,524.55,"1,573.65"
12,1,Alpine,"Auto & Tires,Auto Electronics,Car Speakers and Subwoofers,6.5\\ Car Speakers,All Car Speakers & Subwoofers,Car Electronics & GPS,Car Audio,Car Speakers,Electronics,Car & Vehicle Electronics,Car Electronics,Speakers,Coaxial Speakers","Alpine - 6-1/2"" 2-Way Coaxial Car Speakers with Polypropylene Cones (Pair) - Black",608,6/9/00,1:47:00 AM,2,235.45,470.9
13,25,Motorola,"Electronics,Cameras & Camcorders,All Camcorders,Home, Garage & Office,Pet Supplies & Technology,Pet Cameras & Technology,Wearable Pet Cameras,Computers & Accessories,Computer Accessories & Peripherals,Audio & Video Accessories,Webcams,Housewares,Pet Cameras,Dog,Training Aids,Training & Behavior,Networking,Computers,Routers,pet,Security & Surveillance,Surveillance Video Equipment,Security Monitors & Displays",Motorola Wi-Fi Pet Video Camera,34,6/11/00,4:55:00 AM,2,92.56,185.12
14,21,Lowepro,"Photography,Photography Bags Cases,Camera Bags,Backpacks,Backpacks ffvzrevebzuqvcddwzzxeuwva,Cameras & Camcorders,Digital Camera Accessories,Camera Bags, Cases & Straps,Camera Backpacks,Electronics,Camera Accessories,Camera Bags & Cases,Computers Features,Bag & Case Accessories,Camera & Photo Features,Camera & Photo,Bags & Cases,Camera Cases,Outdoor Recreation,Hiking Daypacks,Backpacking Packs",Flipside 300 Backpack (Black),920,6/11/00,10:19:00 PM,3,79.99,239.97
15,13,House of Marley,"Headphones,Electronics,Over-Ear Headphones,Audio,Over-Ear & On-Ear Headphones",House of Marley EM-DH003-PS TTR Noise-Cancelling Over-Ear Headphones (Black),905,7/3/00,9:02:00 AM,3,322.74,968.22
16,23,Microsoft,"Electronics,Computers,Computer Accessories,Keyboards, Mice & Joysticks,Keyboards,All Keyboards,Computers & Accessories,Computer Accessories & Peripherals,Keyboards, Mice & Accessories,Computers & Tablets,iPad & Tablet Accessories,Tablet Cases, Covers & Keyboard Folios,Computer Peripherals,Keyboards Accessories,Computers Features,Cases, Covers & Keyboard Folios,Name Brands,Microsoft,Microsoft Surface,Microsoft Surface Accessories,Microsoft Surface Cases & Covers,Microsoft Surface Tablets,Frys,Tablets,Cases",Microsoft Surface Pro 4 Type Cover with Fingerprint ID,233,7/3/00,3:23:00 PM,1,149.99,149.99
17,39,Sony,"Electronics,CD Players & Digital Media Receivers,Car Electronics,Motors,Marine Stereos,CD Players,Fishing,Car Audio,Automotive,Car & Vehicle Electronics,Car Stereo Receivers,Digital Media Receivers,Outdoor Sports,Marine Electronics,Car Electronics & GPS",Sony MEXM100BT 160W RMS Marine CD Receiver with Bluetooth (Black) and SiriusXM Ready,283,8/12/00,12:35:00 AM,3,207.72,623.16
18,22,MEE audio,"Headphones,Bluetooth Headphones,All Headphones,Electronics,Audio,Mobile",Air-Fi Runaway AF32 Stereo Bluetooth Wireless Headphones with Hidden Microphone (White),914,8/12/00,4:38:00 AM,1,230.34,230.34
19,7,Corsair,"Computers,Memory (RAM),Computers & Accessories,Computer Components,Memory,Memory Upgrades,Electronics,Computers & Tablets,Computer Cards & Components,Laptop Memory",Corsair CMSA8GX3M2A1066C7 Apple 8 GB Dual Channel Kit DDR3 1066 (PC3 8500) 204-Pin DDR3 Laptop SO-DIMM Memory 1.5V,720,10/1/00,2:22:00 AM,1,315.01,315.01
20,31,Samsung,"Accessories,Portable Power Banks,Portable Chargers/Power Packs,Cell Phones & Accessories,Cell Phones,Portable Battery Packs,Cell Phone Accessories,Cell Phone Batteries & Power,Batteries & Battery Packs,cell,Power,Chargers & Cradles",Samsung Universal 3100mAh Portable External Battery Charger - White,983,10/1/00,8:02:00 PM,1,89.99,89.99
